,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
6 months under 7 months,1225688.00,14619155.00,13303974.00,1339876.00,2002.00,gains,6 months under 7 months,
7 months under 8 months,1103115.00,10898460.00,9804266.00,1195245.00,2002.00,gains,7 months under 8 months,
8 months under 9 months,1176777.00,11928761.00,10255619.00,1670251.00,2002.00,gains,8 months under 9 months,
9 months under 10 months,954580.00,9628886.00,8550101.00,1069855.00,2002.00,gains,9 months under 10 months,
10 months under 11 months,820176.00,9260387.00,8249993.00,1002519.00,2002.00,gains,10 months under 11 months,
11 months under 12 months,826798.00,12253173.00,11176848.00,1008644.00,2002.00,gains,11 months under 12 months,
1 year or more [2],430285.00,6817290.00,5854258.00,981352.00,2002.00,gains,1 year or more [2],
Holding period not determinable,5050676.00,270497389.00,255912007.00,24488811.00,2002.00,gains,Holding period not determinable,
Long-term transactions,,,,,2002.00,gains,Long-term transactions,
Total:,46678522.00,842212042.00,538526947.00,374902166.00,2002.00,gains,Total:,
Under 18 months [3],4455193.00,68577345.00,56158006.00,13165025.00,2002.00,gains,Under 18 months [3],
18 months under 2 years,2803565.00,53074127.00,42066832.00,10260873.00,2002.00,gains,18 months under 2 years,
2 years under 3 years,4597112.00,86435693.00,69032949.00,15825555.00,2002.00,gains,2 years under 3 years,
3 years under 4 years,2830120.00,51403893.00,39192418.00,10558335.00,2002.00,gains,3 years under 4 years,
4 years under 5 years,2166033.00,44320415.00,30998975.00,12009166.00,2002.00,gains,4 years under 5 years,
5 years under 10 years,6045747.00,139941554.00,91840066.00,43359216.00,2002.00,gains,5 years under 10 years,
10 years under 15 years,1999451.00,61540140.00,34872206.00,23231985.00,2002.00,gains,10 years under 15 years,
15 years under 20 years,969920.00,42863931.00,14427381.00,22184365.00,2002.00,gains,15 years under 20 years,
20 years or more,1390508.00,67544039.00,18908194.00,43406243.00,2002.00,gains,20 years or more,
Holding period not determinable,19420873.00,226510905.00,141029920.00,180901403.00,2002.00,gains,Holding period not determinable,
Total:,48672140.00,864198223.00,947509087.00,95531779.00,2002.00,Losses,Total:,
Under 1 month,12263659.00,204436158.00,216212602.00,11800847.00,2002.00,Losses,Under 1 month,
1 month under 2 months,4747547.00,38849752.00,44500415.00,5652606.00,2002.00,Losses,1 month under 2 months,
2 months under 3 months,3342525.00,22943931.00,27327837.00,4385788.00,2002.00,Losses,2 months under 3 months,
3 months under 4 months,3297837.00,18152349.00,23308683.00,5209083.00,2002.00,Losses,3 months under 4 months,
4 months under 5 months,2824017.00,15442236.00,19943611.00,4506676.00,2002.00,Losses,4 months under 5 months,
5 months under 6 months,2640662.00,16609060.00,20906750.00,4295242.00,2002.00,Losses,5 months under 6 months,
6 months under 7 months,2624317.00,14669681.00,19383871.00,4715509.00,2002.00,Losses,6 months under 7 months,
7 months under 8 months,2332236.00,13462051.00,18126911.00,4665350.00,2002.00,Losses,7 months under 8 months,
8 months under 9 months,2051724.00,9295149.00,12813457.00,3545299.00,2002.00,Losses,8 months under 9 months,
9 months under 10 months,2051205.00,10700837.00,14049835.00,3349419.00,2002.00,Losses,9 months under 10 months,
10 months under 11 months,1983483.00,10245557.00,13749304.00,3504564.00,2002.00,Losses,10 months under 11 months,
11 months under 12 months,1597224.00,8576065.00,11863497.00,3287502.00,2002.00,Losses,11 months under 12 months,
1 year or more [2],689985.00,13992249.00,16608704.00,2517303.00,2002.00,Losses,1 year or more [2],
Holding period not determinable,6225719.00,466823148.00,488713610.00,34096591.00,2002.00,Losses,Holding period not determinable,
Long-term transactions,,,,,2002.00,Losses,Long-term transactions,
Total:,47714297.00,318128330.00,501274861.00,204579497.00,2002.00,Losses,Total:,
Under 18 months [3],9197628.00,48399747.00,72598636.00,24383502.00,2002.00,Losses,Under 18 months [3],
18 months under 2 years,6752665.00,29413240.00,52678742.00,23282945.00,2002.00,Losses,18 months under 2 years,
2 years under 3 years,9235236.00,40098376.00,77995720.00,37908515.00,2002.00,Losses,2 years under 3 years,
3 years under 4 years,4281603.00,24008950.00,39336325.00,15334211.00,2002.00,Losses,3 years under 4 years,
4 years under 5 years,2353607.00,15507401.00,24292457.00,8785893.00,2002.00,Losses,4 years under 5 years,
5 years under 10 years,3483142.00,27543751.00,37937567.00,10419111.00,2002.00,Losses,5 years under 10 years,
10 years under 15 years,542936.00,7560852.00,9836009.00,2280266.00,2002.00,Losses,10 years under 15 years,
15 years under 20 years,209811.00,1930956.00,3391491.00,1460534.00,2002.00,Losses,15 years under 20 years,
20 years or more,280549.00,1794370.00,3098866.00,1363351.00,2002.00,Losses,20 years or more,
Holding period not determinable,11377120.00,121870687.00,180109048.00,79361169.00,2002.00,Losses,Holding period not determinable,
Total:,52527265.00,1150821580.00,1088411962.00,79498791.00,2003.00,gains,Total:,
Under 1 month,17597373.00,374393459.00,358657381.00,15858712.00,2003.00,gains,Under 1 month,
1 month under 2 months,5042972.00,59682900.00,54346715.00,5364863.00,2003.00,gains,1 month under 2 months,
2 months under 3 months,3587349.00,40463658.00,36821356.00,3608283.00,2003.00,gains,2 months under 3 months,
3 months under 4 months,3275035.00,34059708.00,30485789.00,3376773.00,2003.00,gains,3 months under 4 months,
4 months under 5 months,2700040.00,25150826.00,22392495.00,2760649.00,2003.00,gains,4 months under 5 months,
5 months under 6 months,2537303.00,24364554.00,22073086.00,2289436.00,2003.00,gains,5 months under 6 months,
6 months under 7 months,2446000.00,23960536.00,21674650.00,2283874.00,2003.00,gains,6 months under 7 months,
